uid,gsdb,manufacturer,engine,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_total_mass,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,ambient_pressure_min,ambient_pressure_max,ambient_temperature_min,ambient_temperature_max,ambient_humidity_min,ambient_humidity_max,test_organization,test_location,initial_test_date,final_test_date,fuel_venting_compliant
1AS001,1,Allied Signal,,TFE731-2-2B,,TF,2.64,13.9,15.6,PR,,,NME,,Out of production,,3.0,3.0,53.4,,50.0,58.0,62.3,317.6,823.0,3.0,3.0,169.4,,161.0,177.0,183.2,155.3,2612.0,3.0,3.0,40.5,,39.0,43.0,42.9,630.0,63.3,79.1,75.9,76.2,78.2,,,,,,,,,ASTM D1655-73T,,,17.0,17.0,85.0,0.0,,0,,96.7,98.1,285.0,288.0,0.0066,0.0087,Allied Signal,Phoenix,1975-12-01,1976-04-01,
1AS002,1,Allied Signal,,TFE731-3,,TF,2.64,14.3,16.5,PR,,,NME,,Out of production,,4.0,4.0,24.0,,19.0,25.0,27.4,139.8,393.0,4.0,4.0,137.7,,133.0,147.0,147.3,124.8,2254.0,4.0,4.0,51.4,,47.0,55.0,54.0,845.0,78.7,98.4,94.7,93.4,96.0,,,,,,,,,ASTM D1655-73T,,,17.0,17.0,92.0,0.0,,0,,97.0,97.3,294.0,313.0,0.0039,0.0073,Allied Signal,Phoenix,1976-02-01,1976-08-01,
4AL003,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A,,MTF,5.23,18.08,33.73,C,,,DTEPS,Yes,Out of production,,3.0,2.0,6.65,,,,8.7,44.1,226.0,3.0,2.0,43.15,,,,49.2,41.7,1468.0,3.0,2.0,46.3,,,,50.9,1563.0,66.8,83.6,85.6,86.6,92.4,3.0,2.0,1.0,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,162.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",1994-03-03,1995-04-19,
6AL004,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,,MTF,5.1,16.6,31.5,C,Yes,6AL023,DTEPS,Yes,Out of production,,3.0,2.0,10.95,,,,14.25,55.9,346.0,3.0,2.0,58.61,,,,66.78,56.6,1850.0,3.0,2.0,37.36,,,,41.08,1175.0,56.1,70.2,71.3,71.9,76.4,3.0,2.0,1.0,,,,1.17,3.6,Jet A/JP-8,1.899,1.899,16.5,16.5,138.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,
6AL005,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1,Type 1,MTF,4.77,17.97,34.91,R,,,DTEPS,Yes,Out of production,,3.0,2.0,8.78,,,,11.42,58.3,307.0,3.0,2.0,53.38,,,,60.82,51.5,1865.0,3.0,2.0,41.71,,,,45.87,1456.0,60.4,75.5,77.6,78.7,84.2,3.0,2.0,1.0,,,,1.17,3.7,Jet A,1.9,1.9,16.0,20.0,157.0,0.0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,
6AL006,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1,Type 2,MTF,4.77,17.97,34.91,C,,,DTEPS,Yes,Out of production,,3.0,1.0,10.51,,,,16.19,82.6,367.0,3.0,1.0,68.2,,,,83.71,70.9,2383.0,3.0,1.0,46.02,,,,53.34,1607.0,70.2,87.8,90.3,91.5,97.9,3.0,1.0,0.01,,,,0.01,0.0,Jet A,1.9,1.9,16.0,20.0,157.0,0.0,,0,,99.6,99.7,297.0,301.0,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",2002-08-28,2002-08-29,
4AL002,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1 series,,MTF,4.76,17.81,33.73,C,Yes,6AL005,DTEPS,Yes,Out of production,,3.0,2.0,8.33,,,,10.8,55.3,279.0,3.0,2.0,57.03,,,,65.0,55.1,1910.0,3.0,2.0,44.61,,,,49.1,1502.0,64.9,81.1,83.1,84.0,89.8,3.0,2.0,1.0,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,164.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",1994-03-03,1995-04-19,
6AL008,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1/1,Type 1,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,3.0,2.0,9.01,,,,11.72,59.8,313.0,3.0,2.0,53.94,,,,61.46,52.1,1874.0,3.0,2.0,41.53,,,,45.67,1442.0,60.3,75.3,77.4,78.4,83.9,3.0,2.0,1.0,,,,1.17,3.7,Jet A,1.9,1.9,16.0,20.0,156.0,0.0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,
6AL009,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1/1,Type 2,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,3.0,1.0,10.67,,,,16.43,83.8,370.0,3.0,1.0,68.8,,,,84.45,71.6,2389.0,3.0,1.0,45.84,,,,53.14,1592.0,70.1,87.6,90.1,91.3,97.6,3.0,1.0,0.01,,,,0.01,0.0,Jet A,1.9,1.9,16.0,20.0,156.0,0.0,,0,,99.6,99.7,297.0,301.0,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",2002-08-28,2002-08-29,
6AL011,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1/3,Type 1,MTF,4.81,17.22,33.05,C,,,DTEPS,Yes,Out of production,,3.0,2.0,10.8,,,,14.05,71.7,357.0,3.0,2.0,59.1,,,,67.34,57.1,1954.0,3.0,2.0,39.93,,,,43.91,1319.0,59.0,73.7,75.4,76.2,81.2,3.0,2.0,1.0,,,,1.17,3.6,Jet A,1.9,1.9,16.0,20.0,151.0,0.0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,
