uid,gsdb,manufacturer,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,eihc_take_off,eihc_climb,eihc_approach,eihc_idle,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_take_off,eico_climb,eico_approach,eico_idle,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,einox_take_off,einox_climb,einox_approach,einox_idle,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,nox_total_mass,sn_take_off,sn_climb,sn_approach,sn_idle,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_flow_take_off,fuel_flow_climb,fuel_flow_approach,Fuel Flow Idle (kg/sec),fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,Ambient Baro Min (kPa),Ambient Baro Max (kPa),ambiant_temperature_min,ambiant_temperature_max,ambiant_humidity_min,ambiant_humidity_max,test_organization,test_location,initial_test_date,Final Test Date,fuel_venting_compliant,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8,engine,thrust_take_off,thrust_climb,thrust_approach,thrust_idle
1AS001,1.0,Allied Signal,TFE731-2-2B,,TF,2.64,13.9,15.6,PR,,,NME,,Out of production,,0.114,0.128,4.26,20.04,3.0,3.0,53.4,,50.0,58.0,62.3,317.6,823.0,1.394,2.03,22.38,58.6,3.0,3.0,169.4,,161.0,177.0,183.2,155.3,2612.0,15.25,13.08,5.9,2.82,3.0,3.0,40.5,,39.0,43.0,42.9,63.3,79.1,75.9,76.2,78.2,630.0,,,,,,,,,,,,,ASTM D1655-73T,,,17.0,17.0,0.205,0.173,0.067,0.024,85.0,0.0,,0,,96.7,98.1,285.0,288.0,0.0066,0.0087,Allied Signal,Phoenix,1975-12-01,1976-04-01,,Not required to meet GASEOUS regulations,,,,,,,,,15.6,13.26,4.68,1.092
1AS002,1.0,Allied Signal,TFE731-3,,TF,2.64,14.3,16.5,PR,,,NME,,Out of production,,0.062,0.072,1.41,9.04,4.0,4.0,24.0,,19.0,25.0,27.4,139.8,393.0,1.13,1.62,15.56,47.7,4.0,4.0,137.7,,133.0,147.0,147.3,124.8,2254.0,19.15,16.02,6.92,3.72,4.0,4.0,51.4,,47.0,55.0,54.0,78.7,98.4,94.7,93.4,96.0,845.0,,,,,,,,,,,,,ASTM D1655-73T,,,17.0,17.0,0.225,0.186,0.072,0.026,92.0,0.0,,0,,97.0,97.3,294.0,313.0,0.0039,0.0073,Allied Signal,Phoenix,1976-02-01,1976-08-01,,Not required to meet GASEOUS regulations,,,,,,,,,16.5,14.025,4.95,1.155
4AL003,4.0,Rolls-Royce Corporation,AE3007A,,MTF,5.23,18.08,33.73,C,,,DTEPS,Yes,Out of production,,0.25,0.29,0.64,2.51,3.0,2.0,6.65,,,,8.7,44.1,226.0,0.75,0.92,3.28,17.35,3.0,2.0,43.15,,,,49.2,41.7,1468.0,20.54,17.47,7.79,3.83,3.0,2.0,46.3,,,,50.9,66.8,83.6,85.6,86.6,92.4,1563.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,0.377,0.315,0.117,0.049,162.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",1994-03-03,1995-04-19,,,,,,,,,,,33.73,28.670499999999997,10.118999999999998,2.3611
6AL004,6.0,Rolls-Royce Corporation,AE3007C1,,MTF,5.1,16.6,31.5,C,Yes,6AL023,DTEPS,Yes,Out of production,,0.24,0.28,0.66,4.84,3.0,2.0,10.95,,,,14.25,55.9,346.0,0.87,1.07,3.96,26.04,3.0,2.0,58.61,,,,66.78,56.6,1850.0,17.9,15.35,7.05,3.37,3.0,2.0,37.36,,,,41.08,56.1,70.2,71.3,71.9,76.4,1175.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,1.17,3.6,Jet A/JP-8,1.899,1.899,16.5,16.5,0.322,0.269,0.099,0.042,138.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,,Results based on Rolls Royce report EDR 15171B,,,,,,,,,31.5,26.775,9.45,2.205
6AL005,6.0,Rolls-Royce Corporation,AE3007A1,Type 1,MTF,4.77,17.97,34.91,R,,,DTEPS,Yes,Out of production,,0.221,0.257,0.655,3.818,3.0,2.0,8.78,,,,11.42,58.3,307.0,0.77,0.96,3.91,23.73,3.0,2.0,53.38,,,,60.82,51.5,1865.0,19.66,16.63,7.1,3.47,3.0,2.0,41.71,,,,45.87,60.4,75.5,77.6,78.7,84.2,1456.0,1.0,0.01,0.01,0.01,3.0,2.0,1.0,,,,1.17,3.7,Jet A,1.9,1.9,16.0,20.0,0.3826,0.318,0.113,0.0461,157.0,0.0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Results are based on Rolls-Royce report EDR 15171B,"AE3007A1 data in this report replace data reported in ICAO databank under ID No. 4AL002, Rev 9",,,,,,,34.91,29.673499999999997,10.472999999999999,2.4437
6AL006,6.0,Rolls-Royce Corporation,AE3007A1,Type 2,MTF,4.77,17.97,34.91,C,,,DTEPS,Yes,Out of production,,0.0,0.0,0.18,5.04,3.0,1.0,10.51,,,,16.19,82.6,367.0,0.12,0.01,1.36,32.59,3.0,1.0,68.2,,,,83.71,70.9,2383.0,22.41,19.58,7.2,3.19,3.0,1.0,46.02,,,,53.34,70.2,87.8,90.3,91.5,97.9,1607.0,0.01,0.01,0.01,0.01,3.0,1.0,0.01,,,,0.01,0.0,Jet A,1.9,1.9,16.0,20.0,0.3826,0.318,0.113,0.0461,157.0,0.0,,0,,99.6,99.7,297.0,301.0,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",2002-08-28,2002-08-29,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for AE3007A1 egines fitted with PAB fuel nozzles,Results based on Rolls-Royce report EDR 19972,,,,,,,34.91,29.673499999999997,10.472999999999999,2.4437
4AL002,4.0,Rolls-Royce Corporation,AE3007A1 series,,MTF,4.76,17.81,33.73,C,Yes,6AL005,DTEPS,Yes,Out of production,,0.26,0.3,0.72,3.1,3.0,2.0,8.33,,,,10.8,55.3,279.0,0.79,0.97,3.8,22.43,3.0,2.0,57.03,,,,65.0,55.1,1910.0,19.78,16.84,7.22,3.52,3.0,2.0,44.61,,,,49.1,64.9,81.1,83.1,84.0,89.8,1502.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,,,,1.2,3.7,Jet A/JP-8,1.899,1.899,16.5,16.5,0.38,0.319,0.117,0.05,164.0,0.0,,0,,101.3,101.3,288.0,288.0,0.0063,0.0063,Allison Engine Company,"Indianapolis, Indiana",1994-03-03,1995-04-19,,"For AE3007A1,  A1/1, A1/2",,,,,,,,,33.73,28.670499999999997,10.118999999999998,2.3611
6AL007,6.0,Rolls-Royce Corporation,AE3007A1,Type 3 (reduced emissions),MTF,4.77,17.97,34.91,C,Yes,01P06AL028,DTEPS,Yes,Out of production,,0.03,0.03,0.03,3.85,3.0,1.0,8.01,,,,12.34,63.0,279.0,0.75,0.56,6.72,39.91,3.0,1.0,88.38,,,,108.48,91.9,3088.0,16.17,14.07,7.13,4.17,3.0,1.0,38.49,,,,44.62,58.8,73.4,75.5,76.6,81.9,1344.0,0.01,0.01,0.01,0.01,3.0,1.0,0.01,,,,0.01,0.0,Jet A,1.9,1.9,16.0,20.0,0.3826,0.318,0.113,0.0461,157.0,0.0,,0,,98.9,99.0,291.0,301.0,0.009,0.012,Rolls-Royce Corporation,"Indianapolis, Indiana",2001-06-09,2001-06-11,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for AE3007A1 engine fitted with reduced emissions combustor and PAB fuel nozzles,Results based on Rolls-Royce report EDR 19587,,,,,,,34.91,29.673499999999997,10.472999999999999,2.4437
6AL008,6.0,Rolls-Royce Corporation,AE3007A1/1,Type 1,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,0.222,0.258,0.658,3.92,3.0,2.0,9.01,,,,11.72,59.8,313.0,0.77,0.97,3.93,23.95,3.0,2.0,53.94,,,,61.46,52.1,1874.0,19.57,16.55,7.07,3.46,3.0,2.0,41.53,,,,45.67,60.3,75.3,77.4,78.4,83.9,1442.0,1.0,0.01,0.01,0.01,3.0,2.0,1.0,,,,1.17,3.7,Jet A,1.9,1.9,16.0,20.0,0.3805,0.3163,0.1125,0.0459,156.0,0.0,,0,,,,,,,,Rolls-Royce Corporation,"Indianapolis, Indiana",1994-03-03,1995-04-19,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Results based on Rolls-Royce report EDR 15171B,,,,,,,,34.74,29.529,10.422,2.4318000000000004
6AL009,6.0,Rolls-Royce Corporation,AE3007A1/1,Type 2,MTF,4.77,17.9,34.74,C,,,DTEPS,Yes,Out of production,,0.0,0.0,0.18,5.1,3.0,1.0,10.67,,,,16.43,83.8,370.0,0.0,0.0,1.4,32.84,3.0,1.0,68.8,,,,84.45,71.6,2389.0,22.31,19.49,7.16,3.19,3.0,1.0,45.84,,,,53.14,70.1,87.6,90.1,91.3,97.6,1592.0,0.01,0.01,0.01,0.01,3.0,1.0,0.01,,,,0.01,0.0,Jet A,1.9,1.9,16.0,20.0,0.3805,0.3163,0.1125,0.0459,156.0,0.0,,0,,99.6,99.7,297.0,301.0,0.0115,0.0141,Rolls-Royce Corporation,"Indianapolis, Indiana",2002-08-28,2002-08-29,,For effectivity see Rolls-Royce Notice to Operators No. AE3007A-076,Data in this form for A3007A1/1 fitted with PAB fuel nozzles,Results based on Rolls-Royce report EDR 19972,,,,,,,34.74,29.529,10.422,2.4318000000000004
