uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
1AS001,1,Allied Signal,,TFE731-2-2B,,TF,15.6,15.25,1.394,0.114,,0.205
1AS001,1,Allied Signal,,TFE731-2-2B,,TF,13.26,13.08,2.03,0.128,,0.173
1AS001,1,Allied Signal,,TFE731-2-2B,,TF,4.68,5.9,22.38,4.26,,0.067
1AS001,1,Allied Signal,,TFE731-2-2B,,TF,1.092,2.82,58.6,20.04,,0.024
1AS002,1,Allied Signal,,TFE731-3,,TF,16.5,19.15,1.13,0.062,,0.225
1AS002,1,Allied Signal,,TFE731-3,,TF,14.025,16.02,1.62,0.072,,0.186
1AS002,1,Allied Signal,,TFE731-3,,TF,4.95,6.92,15.56,1.41,,0.072
1AS002,1,Allied Signal,,TFE731-3,,TF,1.155,3.72,47.7,9.04,,0.026
4AL003,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A,,MTF,33.73,20.54,0.75,0.25,1.0,0.377
4AL003,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A,,MTF,28.670499999999997,17.47,0.92,0.29,0.0,0.315
4AL003,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A,,MTF,10.118999999999998,7.79,3.28,0.64,0.0,0.117
4AL003,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A,,MTF,2.3611,3.83,17.35,2.51,0.0,0.049
6AL004,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,,MTF,31.5,17.9,0.87,0.24,1.0,0.322
6AL004,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,,MTF,26.775,15.35,1.07,0.28,0.0,0.269
6AL004,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,,MTF,9.45,7.05,3.96,0.66,0.0,0.099
6AL004,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,,MTF,2.205,3.37,26.04,4.84,0.0,0.042
6AL005,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1,Type 1,MTF,34.91,19.66,0.77,0.221,1.0,0.3826
6AL005,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1,Type 1,MTF,29.673499999999997,16.63,0.96,0.257,0.01,0.318
6AL005,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1,Type 1,MTF,10.472999999999999,7.1,3.91,0.655,0.01,0.113
6AL005,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1,Type 1,MTF,2.4437,3.47,23.73,3.818,0.01,0.0461
6AL006,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1,Type 2,MTF,34.91,22.41,0.12,0.0,0.01,0.3826
6AL006,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1,Type 2,MTF,29.673499999999997,19.58,0.01,0.0,0.01,0.318
6AL006,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1,Type 2,MTF,10.472999999999999,7.2,1.36,0.18,0.01,0.113
6AL006,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1,Type 2,MTF,2.4437,3.19,32.59,5.04,0.01,0.0461
4AL002,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1 series,,MTF,33.73,19.78,0.79,0.26,1.0,0.38
4AL002,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1 series,,MTF,28.670499999999997,16.84,0.97,0.3,0.0,0.319
4AL002,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1 series,,MTF,10.118999999999998,7.22,3.8,0.72,0.0,0.117
4AL002,4,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1 series,,MTF,2.3611,3.52,22.43,3.1,0.0,0.05
6AL008,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1/1,Type 1,MTF,34.74,19.57,0.77,0.222,1.0,0.3805
6AL008,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1/1,Type 1,MTF,29.529,16.55,0.97,0.258,0.01,0.3163
6AL008,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1/1,Type 1,MTF,10.422,7.07,3.93,0.658,0.01,0.1125
